mixture_name,powder1,powder2,mass1_kg,mass2_kg,alpha,omega_sum_kg,omega_q_ratio,delta_kg_m3,W0_m3,Z_b1,velocity_mps,velocity_cold_mps,velocity_hot_mps,pressure_max_mpa,pressure_hot_mpa,x_p_m,x_e_m,f_sum,delta_sum,b_sum,k_sum
С 1/1.0 1.9,ДГ-4 14/1,,1.889,0.000,1.000,1.889,0.378,956.9,0.001974,3.883069e+06,950.00,830.00,184.23,383.24,390.00,2.984,2.984,1004000,1520.0,0.001085,1.243
С 1/1.0 1.9,ДГ-4 14/1,,1.889,0.000,1.000,1.889,0.378,907.7,0.002081,5.649702e+06,950.00,830.00,297.00,328.74,390.00,3.572,3.572,1004000,1520.0,0.001085,1.243
С 1/1.0 3.2,ДГ-4 14/1,,3.222,0.000,1.000,3.222,0.644,686.2,0.004696,9.584580e+05,950.00,830.00,454.32,333.35,390.00,1.797,1.681,1004000,1520.0,0.001085,1.243
С 1/1.0 3.2,ДГ-4 14/1,,3.222,0.000,1.000,3.222,0.644,710.8,0.004533,8.229036e+05,950.00,830.00,359.68,358.45,390.00,1.668,1.568,1004000,1520.0,0.001085,1.243
С 1/1.0 3.2,ДГ-4 14/1,,3.222,0.000,1.000,3.222,0.644,735.4,0.004382,7.028578e+05,950.00,830.00,308.28,386.31,390.00,1.544,1.458,1004000,1520.0,0.001085,1.243
С 1/1.0 2.8,ДГ-4 14/1,,2.778,0.000,1.000,2.778,0.556,686.2,0.004048,1.840282e+06,950.00,830.00,950.00,277.72,181.08,2.336,2.311,1004000,1520.0,0.001085,1.243
С 1/1.0 2.8,ДГ-4 14/1,,2.778,0.000,1.000,2.778,0.556,710.8,0.003908,1.588615e+06,950.00,830.00,950.00,297.30,196.88,2.174,2.161,1004000,1520.0,0.001085,1.243
С 1/1.0 2.8,ДГ-4 14/1,,2.778,0.000,1.000,2.778,0.556,735.4,0.003777,1.364215e+06,950.00,830.00,950.00,318.90,214.21,2.018,2.014,1004000,1520.0,0.001085,1.243
С 1/1.0 2.8,ДГ-4 14/1,,2.778,0.000,1.000,2.778,0.556,760.0,0.003655,1.167171e+06,950.00,830.00,352.08,342.52,390.00,1.871,1.871,1004000,1520.0,0.001085,1.243
С 1/1.0 2.8,ДГ-4 14/1,,2.778,0.000,1.000,2.778,0.556,784.6,0.003540,9.933809e+05,950.00,830.00,291.75,368.56,390.00,1.731,1.731,1004000,1520.0,0.001085,1.243
С 1/1.0 2.3,ДГ-4 14/1,,2.333,0.000,1.000,2.333,0.467,833.8,0.002798,1.883824e+06,950.00,830.00,300.00,341.92,390.00,2.236,2.236,1004000,1520.0,0.001085,1.243
С 1/1.0 2.3,ДГ-4 14/1,,2.333,0.000,1.000,2.333,0.467,858.5,0.002718,1.594246e+06,950.00,830.00,246.60,367.68,390.00,2.064,2.064,1004000,1520.0,0.001085,1.243
С 1/1.0 3.2,ДГ-4 14/1,,3.222,0.000,1.000,3.222,0.644,587.7,0.005483,1.731224e+06,950.00,830.00,950.00,251.41,189.56,2.402,2.200,1004000,1520.0,0.001085,1.243
С 1/1.0 3.2,ДГ-4 14/1,,3.222,0.000,1.000,3.222,0.644,612.3,0.005262,1.496357e+06,950.00,830.00,950.00,269.54,205.92,2.236,2.058,1004000,1520.0,0.001085,1.243
С 1/1.0 3.2,ДГ-4 14/1,,3.222,0.000,1.000,3.222,0.644,636.9,0.005059,1.291920e+06,950.00,830.00,950.00,289.22,223.80,2.079,1.928,1004000,1520.0,0.001085,1.243
С 1/1.0 3.2,ДГ-4 14/1,,3.222,0.000,1.000,3.222,0.644,661.5,0.004871,1.115397e+06,950.00,830.00,950.00,310.17,243.18,1.935,1.802,1004000,1520.0,0.001085,1.243
С 1/1.0 4.1,ДГ-4 14/1,,4.111,0.000,1.000,4.111,0.822,440.0,0.009343,1.963110e+06,950.00,830.00,950.00,216.37,180.85,2.763,2.231,1004000,1520.0,0.001085,1.243
С 1/1.0 4.1,ДГ-4 14/1,,4.111,0.000,1.000,4.111,0.822,489.2,0.008403,1.456119e+06,950.00,830.00,950.00,251.77,215.55,2.376,1.959,1004000,1520.0,0.001085,1.243
С 1/1.0 4.1,ДГ-4 14/1,,4.111,0.000,1.000,4.111,0.822,513.8,0.008001,1.253742e+06,950.00,830.00,950.00,271.52,235.04,2.205,1.833,1004000,1520.0,0.001085,1.243
С 1/1.0 4.1,ДГ-4 14/1,,4.111,0.000,1.000,4.111,0.822,538.5,0.007635,1.079576e+06,950.00,830.00,950.00,292.74,256.26,2.047,1.713,1004000,1520.0,0.001085,1.243
С 1/1.0 4.1,ДГ-4 14/1,,4.111,0.000,1.000,4.111,0.822,563.1,0.007301,9.284635e+05,950.00,830.00,950.00,315.81,279.42,1.900,1.599,1004000,1520.0,0.001085,1.243
С 1/1.0 4.1,ДГ-4 14/1,,4.111,0.000,1.000,4.111,0.822,587.7,0.006995,7.993158e+05,950.00,830.00,528.02,340.65,390.00,1.764,1.496,1004000,1520.0,0.001085,1.243
С 1/1.0 4.1,ДГ-4 14/1,,4.111,0.000,1.000,4.111,0.822,612.3,0.006714,6.864690e+05,950.00,830.00,431.23,367.95,390.00,1.636,1.398,1004000,1520.0,0.001085,1.243
С 1/1.0 3.7,ДГ-4 14/1,,3.667,0.000,1.000,3.667,0.733,513.8,0.007136,1.720037e+06,950.00,830.00,950.00,236.68,192.62,2.502,2.153,1004000,1520.0,0.001085,1.243
С 1/1.0 3.7,ДГ-4 14/1,,3.667,0.000,1.000,3.667,0.733,538.5,0.006810,1.485875e+06,950.00,830.00,950.00,254.32,209.50,2.326,2.015,1004000,1520.0,0.001085,1.243
С 1/1.0 3.7,ДГ-4 14/1,,3.667,0.000,1.000,3.667,0.733,563.1,0.006512,1.282807e+06,950.00,830.00,950.00,273.43,227.97,2.163,1.888,1004000,1520.0,0.001085,1.243
С 1/1.0 3.7,ДГ-4 14/1,,3.667,0.000,1.000,3.667,0.733,587.7,0.006239,1.107557e+06,950.00,830.00,950.00,293.86,247.99,2.011,1.766,1004000,1520.0,0.001085,1.243
С 1/1.0 3.7,ДГ-4 14/1,,3.667,0.000,1.000,3.667,0.733,612.3,0.005988,9.536843e+05,950.00,830.00,950.00,316.20,270.18,1.869,1.649,1004000,1520.0,0.001085,1.243
С 1/1.0 3.7,ДГ-4 14/1,,3.667,0.000,1.000,3.667,0.733,636.9,0.005757,8.197779e+05,950.00,830.00,472.34,340.60,390.00,1.735,1.541,1004000,1520.0,0.001085,1.243
С 1/1.0 3.7,ДГ-4 14/1,,3.667,0.000,1.000,3.667,0.733,661.5,0.005543,7.045660e+05,950.00,830.00,388.18,366.79,390.00,1.611,1.437,1004000,1520.0,0.001085,1.243
С 2/1.0 1.9,ДГ-3 13/1,,1.889,0.000,1.000,1.889,0.378,956.9,0.001974,4.173633e+06,950.00,827.74,225.15,342.31,390.00,4.183,4.183,968000,1520.0,0.001113,1.250
С 2/1.0 1.9,ДГ-3 13/1,,1.889,0.000,1.000,1.889,0.378,981.5,0.001924,3.386453e+06,950.00,830.00,184.88,370.75,390.00,3.794,3.794,968000,1520.0,0.001113,1.250
С 2/1.0 3.7,ДГ-3 13/1,,3.667,0.000,1.000,3.667,0.733,686.2,0.005344,4.503211e+05,950.00,830.00,397.75,353.50,390.00,1.690,1.590,968000,1520.0,0.001113,1.250
С 2/1.0 3.7,ДГ-3 13/1,,3.667,0.000,1.000,3.667,0.733,710.8,0.005159,3.826672e+05,950.00,830.00,338.77,381.52,390.00,1.565,1.476,968000,1520.0,0.001113,1.250
С 2/1.0 3.2,ДГ-3 13/1,,3.222,0.000,1.000,3.222,0.644,686.2,0.004696,7.387979e+05,950.00,830.00,950.00,298.51,226.47,2.077,2.051,968000,1520.0,0.001113,1.250
С 2/1.0 3.2,ДГ-3 13/1,,3.222,0.000,1.000,3.222,0.644,710.8,0.004533,6.321484e+05,950.00,830.00,950.00,320.66,247.18,1.928,1.917,968000,1520.0,0.001113,1.250
С 2/1.0 3.2,ДГ-3 13/1,,3.222,0.000,1.000,3.222,0.644,735.4,0.004382,5.372988e+05,950.00,830.00,373.73,345.18,390.00,1.785,1.778,968000,1520.0,0.001113,1.250
С 2/1.0 3.2,ДГ-3 13/1,,3.222,0.000,1.000,3.222,0.644,760.0,0.004240,4.554953e+05,950.00,830.00,312.83,372.13,390.00,1.651,1.651,968000,1520.0,0.001113,1.250
С 2/1.0 2.8,ДГ-3 13/1,,2.778,0.000,1.000,2.778,0.556,760.0,0.003655,9.193652e+05,950.00,830.00,950.00,306.66,193.00,2.232,2.232,968000,1520.0,0.001113,1.250
С 2/1.0 2.8,ДГ-3 13/1,,2.778,0.000,1.000,2.778,0.556,784.6,0.003540,7.792284e+05,950.00,830.00,386.76,329.48,390.00,2.065,2.065,968000,1520.0,0.001113,1.250
С 2/1.0 2.8,ДГ-3 13/1,,2.778,0.000,1.000,2.778,0.556,809.2,0.003433,6.568170e+05,950.00,830.00,299.45,354.78,390.00,1.907,1.907,968000,1520.0,0.001113,1.250
С 2/1.0 2.8,ДГ-3 13/1,,2.778,0.000,1.000,2.778,0.556,833.8,0.003331,5.498024e+05,950.00,830.00,256.04,383.09,390.00,1.754,1.754,968000,1520.0,0.001113,1.250
С 2/1.0 2.3,ДГ-3 13/1,,2.333,0.000,1.000,2.333,0.467,858.5,0.002718,1.369994e+06,950.00,830.00,326.36,329.11,390.00,2.590,2.590,968000,1520.0,0.001113,1.250
С 2/1.0 2.3,ДГ-3 13/1,,2.333,0.000,1.000,2.333,0.467,883.1,0.002642,1.140152e+06,950.00,830.00,252.54,355.00,390.00,2.378,2.378,968000,1520.0,0.001113,1.250
С 2/1.0 2.3,ДГ-3 13/1,,2.333,0.000,1.000,2.333,0.467,907.7,0.002571,9.426527e+05,950.00,830.00,214.41,383.86,390.00,2.176,2.176,968000,1520.0,0.001113,1.250
С 2/1.0 3.2,ДГ-3 13/1,,3.222,0.000,1.000,3.222,0.644,636.9,0.005059,1.004184e+06,950.00,830.00,950.00,259.39,191.06,2.405,2.353,968000,1520.0,0.001113,1.250
С 2/1.0 3.7,ДГ-3 13/1,,3.667,0.000,1.000,3.667,0.733,538.5,0.006810,1.129595e+06,950.00,830.00,950.00,228.92,183.11,2.629,2.383,968000,1520.0,0.001113,1.250
С 2/1.0 3.7,ДГ-3 13/1,,3.667,0.000,1.000,3.667,0.733,563.1,0.006512,9.728092e+05,950.00,830.00,950.00,245.69,199.20,2.446,2.231,968000,1520.0,0.001113,1.250
С 2/1.0 3.7,ДГ-3 13/1,,3.667,0.000,1.000,3.667,0.733,587.7,0.006239,8.377725e+05,950.00,830.00,950.00,263.77,216.89,2.275,2.092,968000,1520.0,0.001113,1.250
С 2/1.0 3.7,ДГ-3 13/1,,3.667,0.000,1.000,3.667,0.733,612.3,0.005988,7.187648e+05,950.00,830.00,950.00,283.47,236.09,2.114,1.953,968000,1520.0,0.001113,1.250
С 2/1.0 3.7,ДГ-3 13/1,,3.667,0.000,1.000,3.667,0.733,636.9,0.005757,6.174294e+05,950.00,830.00,950.00,304.60,257.58,1.966,1.828,968000,1520.0,0.001113,1.250
С 2/1.0 3.7,ДГ-3 13/1,,3.667,0.000,1.000,3.667,0.733,661.5,0.005543,5.272297e+05,950.00,830.00,521.51,328.11,390.00,1.823,1.704,968000,1520.0,0.001113,1.250
С 2/1.0 4.1,ДГ-3 13/1,,4.111,0.000,1.000,4.111,0.822,489.2,0.008403,1.100909e+06,950.00,830.00,950.00,226.58,191.55,2.646,2.267,968000,1520.0,0.001113,1.250
С 2/1.0 4.1,ДГ-3 13/1,,4.111,0.000,1.000,4.111,0.822,513.8,0.008001,9.465227e+05,950.00,830.00,950.00,243.89,208.88,2.458,2.123,968000,1520.0,0.001113,1.250
С 2/1.0 4.1,ДГ-3 13/1,,4.111,0.000,1.000,4.111,0.822,538.5,0.007635,8.122824e+05,950.00,830.00,950.00,262.79,227.56,2.281,1.989,968000,1520.0,0.001113,1.250
С 2/1.0 4.1,ДГ-3 13/1,,4.111,0.000,1.000,4.111,0.822,587.7,0.006995,5.976860e+05,950.00,830.00,950.00,304.96,271.15,1.967,1.738,968000,1520.0,0.001113,1.250
С 2/1.0 4.1,ДГ-3 13/1,,4.111,0.000,1.000,4.111,0.822,612.3,0.006714,5.110359e+05,950.00,830.00,572.24,328.99,390.00,1.825,1.621,968000,1520.0,0.001113,1.250
С 2/1.0 4.1,ДГ-3 13/1,,4.111,0.000,1.000,4.111,0.822,636.9,0.006455,4.371733e+05,950.00,830.00,440.35,354.96,390.00,1.693,1.514,968000,1520.0,0.001113,1.250
С 2/1.0 4.1,ДГ-3 13/1,,4.111,0.000,1.000,4.111,0.822,661.5,0.006214,3.717649e+05,950.00,830.00,375.54,384.01,390.00,1.567,1.408,968000,1520.0,0.001113,1.250
С 3/1.0 1.9,ДГ-4 15/1,,1.889,0.000,1.000,1.889,0.378,956.9,0.001974,8.100854e+06,950.00,826.82,260.04,331.34,390.00,4.357,4.357,1004000,1520.0,0.001085,1.243
С 3/1.0 1.9,ДГ-4 15/1,,1.889,0.000,1.000,1.889,0.378,981.5,0.001924,6.668455e+06,950.00,830.00,199.81,357.97,390.00,3.969,3.969,1004000,1520.0,0.001085,1.243
С 3/1.0 1.9,ДГ-4 15/1,,1.889,0.000,1.000,1.889,0.378,1006.2,0.001877,5.434784e+06,950.00,830.00,168.29,388.24,390.00,3.598,3.598,1004000,1520.0,0.001085,1.243
С 3/1.0 3.2,ДГ-4 15/1,,3.222,0.000,1.000,3.222,0.644,710.8,0.004533,1.196339e+06,950.00,830.00,950.00,310.99,250.18,1.996,1.996,1004000,1520.0,0.001085,1.243
С 3/1.0 3.2,ДГ-4 15/1,,3.222,0.000,1.000,3.222,0.644,735.4,0.004382,1.027996e+06,950.00,830.00,423.26,333.68,390.00,1.855,1.855,1004000,1520.0,0.001085,1.243
С 3/1.0 3.2,ДГ-4 15/1,,3.222,0.000,1.000,3.222,0.644,760.0,0.004240,8.786454e+05,950.00,830.00,336.79,358.87,390.00,1.720,1.720,1004000,1520.0,0.001085,1.243
С 3/1.0 3.2,ДГ-4 15/1,,3.222,0.000,1.000,3.222,0.644,784.6,0.004107,7.480401e+05,950.00,830.00,288.83,386.63,390.00,1.591,1.591,1004000,1520.0,0.001085,1.243
С 3/1.0 3.7,ДГ-4 15/1,,3.667,0.000,1.000,3.667,0.733,686.2,0.005344,8.570182e+05,950.00,830.00,438.66,341.61,390.00,1.750,1.750,1004000,1520.0,0.001085,1.243
С 3/1.0 3.7,ДГ-4 15/1,,3.667,0.000,1.000,3.667,0.733,710.8,0.005159,7.347607e+05,950.00,830.00,361.81,367.77,390.00,1.624,1.624,1004000,1520.0,0.001085,1.243
С 3/1.0 2.8,ДГ-4 15/1,,2.778,0.000,1.000,2.778,0.556,760.0,0.003655,1.763489e+06,950.00,830.00,950.00,297.65,194.88,2.314,2.314,1004000,1520.0,0.001085,1.243
С 3/1.0 2.8,ДГ-4 15/1,,2.778,0.000,1.000,2.778,0.556,784.6,0.003540,1.509097e+06,950.00,830.00,950.00,319.17,212.32,2.147,2.147,1004000,1520.0,0.001085,1.243
С 3/1.0 2.8,ДГ-4 15/1,,2.778,0.000,1.000,2.778,0.556,809.2,0.003433,1.285323e+06,950.00,830.00,330.59,342.92,390.00,1.987,1.987,1004000,1520.0,0.001085,1.243
