mixture_name,powder1,powder2,mass1_kg,mass2_kg,alpha,omega_sum_kg,omega_q_ratio,delta_kg_m3,W0_m3,Z_b1,velocity_mps,velocity_cold_mps,velocity_hot_mps,pressure_max_mpa,pressure_hot_mpa,x_p_m,x_e_m,f_sum,delta_sum,b_sum,k_sum
С 1/1.0 2.3,ДГ-4 14/1,,2.286,0.000,1.000,2.286,0.457,686.2,0.003331,5.582484e+06,950.00,830.00,950.00,268.17,86.78,3.752,3.752,1004000,1520.0,0.001085,1.243
С 1/1.0 2.3,ДГ-4 14/1,,2.286,0.000,1.000,2.286,0.457,710.8,0.003216,4.838113e+06,950.00,830.00,950.00,286.72,93.90,3.502,3.502,1004000,1520.0,0.001085,1.243
С 1/1.0 2.3,ДГ-4 14/1,,2.286,0.000,1.000,2.286,0.457,735.4,0.003108,4.154779e+06,950.00,830.00,950.00,307.47,101.36,3.254,3.254,1004000,1520.0,0.001085,1.243
С 1/1.0 2.3,ДГ-4 14/1,,2.286,0.000,1.000,2.286,0.457,538.5,0.004245,1.275830e+07,950.00,814.10,950.00,180.02,56.07,5.600,5.600,1004000,1520.0,0.001085,1.243
С 1/1.0 2.3,ДГ-4 14/1,,2.286,0.000,1.000,2.286,0.457,563.1,0.004059,1.114378e+07,950.00,825.39,950.00,192.47,60.37,5.242,5.242,1004000,1520.0,0.001085,1.243
С 1/1.0 2.3,ДГ-4 14/1,,2.286,0.000,1.000,2.286,0.457,587.7,0.003889,9.667762e+06,950.00,830.00,950.00,206.08,64.69,4.892,4.892,1004000,1520.0,0.001085,1.243
С 1/1.0 2.3,ДГ-4 14/1,,2.286,0.000,1.000,2.286,0.457,612.3,0.003733,8.462527e+06,950.00,830.00,950.00,219.97,69.60,4.586,4.586,1004000,1520.0,0.001085,1.243
С 1/1.0 2.3,ДГ-4 14/1,,2.286,0.000,1.000,2.286,0.457,636.9,0.003589,7.350739e+06,950.00,830.00,950.00,235.25,74.88,4.284,4.284,1004000,1520.0,0.001085,1.243
С 1/1.0 2.3,ДГ-4 14/1,,2.286,0.000,1.000,2.286,0.457,661.5,0.003455,6.433262e+06,950.00,830.00,950.00,250.86,80.58,4.017,4.017,1004000,1520.0,0.001085,1.243
С 1/1.0 4.2,ДГ-4 14/1,,4.214,0.000,1.000,4.214,0.843,440.0,0.009578,1.943561e+06,950.00,830.00,950.00,244.89,169.51,2.669,2.669,1004000,1520.0,0.001085,1.243
С 1/1.0 3.6,ДГ-4 14/1,,3.571,0.000,1.000,3.571,0.714,440.0,0.008117,3.202664e+06,950.00,830.00,950.00,212.64,131.83,3.301,3.301,1004000,1520.0,0.001085,1.243
С 1/1.0 3.6,ДГ-4 14/1,,3.571,0.000,1.000,3.571,0.714,464.6,0.007687,2.765505e+06,950.00,830.00,950.00,231.72,143.44,3.068,3.068,1004000,1520.0,0.001085,1.243
С 1/1.0 3.6,ДГ-4 14/1,,3.571,0.000,1.000,3.571,0.714,489.2,0.007300,2.393801e+06,950.00,830.00,950.00,252.04,155.95,2.856,2.856,1004000,1520.0,0.001085,1.243
