name,p_max_mpa,v_pm_mps,x_pm_m,omega_sum_kg,W_0_m3,delta_kg_m3,type,num_powders
П7 3/0.500 4/0.500 2.0,376.28,950.00,4.255,2.033,0.001768,1150.0,ПС,2
П7 3/0.300 4/0.700 3.0,277.56,950.00,2.676,3.000,0.003333,900.0,ПС,2
П7 3/0.500 4/0.500 3.0,299.96,950.00,2.332,3.000,0.003333,900.0,ПС,2
П7 3/0.500 5/0.500 3.0,229.52,950.00,3.846,3.000,0.003333,900.0,ПС,2
П7 3/0.700 4/0.300 3.0,324.21,950.00,2.051,3.000,0.003333,900.0,ПС,2
П7 3/0.700 5/0.300 3.0,276.88,950.00,2.661,3.000,0.003333,900.0,ПС,2
П7 4/0.700 5/0.300 3.0,209.96,950.00,4.816,3.000,0.003333,900.0,ПС,2
П7 3/0.300 5/0.700 3.0,258.54,950.00,4.305,3.000,0.002927,1025.0,ПС,2
П7 3/0.500 5/0.500 3.0,319.71,950.00,2.656,3.000,0.002927,1025.0,ПС,2
П7 4/0.500 5/0.500 3.0,256.27,950.00,4.494,3.000,0.002927,1025.0,ПС,2
П7 4/0.700 5/0.300 3.0,289.38,950.00,3.351,3.000,0.002927,1025.0,ПС,2
П7 3/0.300 5/0.700 3.0,379.24,950.00,2.756,3.000,0.002609,1150.0,ПС,2
П7 4/0.300 5/0.700 3.0,326.47,950.00,4.114,3.000,0.002609,1150.0,ПС,2
П7 4/0.500 5/0.500 3.0,375.24,950.00,2.882,3.000,0.002609,1150.0,ПС,2
П7 2/0.200 3/0.400 5/0.400 2.0,380.57,950.00,4.699,2.033,0.002259,900.0,ПС,3
П7 3/0.200 4/0.400 5/0.400 3.0,215.11,950.00,4.501,3.000,0.003333,900.0,ПС,3
П7 3/0.200 4/0.600 5/0.200 3.0,239.71,950.00,3.550,3.000,0.003333,900.0,ПС,3
П7 3/0.400 4/0.200 5/0.400 3.0,232.92,950.00,3.742,3.000,0.003333,900.0,ПС,3
П7 3/0.400 4/0.400 5/0.200 3.0,259.33,950.00,3.021,3.000,0.003333,900.0,ПС,3
П7 3/0.600 4/0.200 5/0.200 3.0,280.44,950.00,2.607,3.000,0.003333,900.0,ПС,3
П7 3/0.200 4/0.200 5/0.600 3.0,263.22,950.00,4.144,3.000,0.002927,1025.0,ПС,3
П7 3/0.200 4/0.400 5/0.400 3.0,297.56,950.00,3.122,3.000,0.002927,1025.0,ПС,3
П7 3/0.200 4/0.600 5/0.200 3.0,335.42,950.00,2.446,3.000,0.002927,1025.0,ПС,3
П7 3/0.400 4/0.200 5/0.400 3.0,324.75,950.00,2.584,3.000,0.002927,1025.0,ПС,3
П7 3/0.400 4/0.400 5/0.200 3.0,366.26,950.00,2.066,3.000,0.002927,1025.0,ПС,3
П7 3/0.200 4/0.200 5/0.600 3.0,386.71,950.00,2.653,3.000,0.002609,1150.0,ПС,3
Б1 3/0.300 4/0.700 2.0,355.89,950.00,2.717,2.033,0.002259,900.0,БО,2
Б1 3/0.500 5/0.500 2.0,286.76,950.00,4.725,2.033,0.002259,900.0,БО,2
Б1 3/0.700 5/0.300 2.0,362.02,950.00,2.680,2.033,0.002259,900.0,БО,2
Б1 4/0.700 5/0.300 2.0,365.36,950.00,4.265,2.033,0.001984,1025.0,БО,2
Б1 3/0.300 5/0.700 3.0,358.44,950.00,2.156,3.000,0.003333,900.0,БО,2
Б1 4/0.300 5/0.700 3.0,294.02,950.00,3.026,3.000,0.003333,900.0,БО,2
Б1 4/0.500 5/0.500 3.0,345.49,950.00,2.229,3.000,0.003333,900.0,БО,2
Б1 1/0.200 3/0.200 4/0.600 2.0,337.04,950.00,4.888,2.033,0.002259,900.0,БО,3
Б1 1/0.200 3/0.400 4/0.400 2.0,366.20,950.00,3.729,2.033,0.002259,900.0,БО,3
Б1 1/0.200 3/0.600 5/0.200 2.0,359.44,950.00,4.045,2.033,0.002259,900.0,БО,3
Б1 3/0.200 4/0.600 5/0.200 2.0,297.70,950.00,4.150,2.033,0.002259,900.0,БО,3
Б1 3/0.400 4/0.200 5/0.400 2.0,290.23,950.00,4.521,2.033,0.002259,900.0,БО,3
Б1 3/0.400 4/0.400 5/0.200 2.0,330.65,950.00,3.238,2.033,0.002259,900.0,БО,3
Б1 3/0.600 4/0.200 5/0.200 2.0,366.45,950.00,2.596,2.033,0.002259,900.0,БО,3
Б1 3/0.200 4/0.400 5/0.400 2.0,383.46,950.00,3.788,2.033,0.001984,1025.0,БО,3
Б1 1/0.200 3/0.200 5/0.600 3.0,329.07,950.00,3.432,3.000,0.003333,900.0,БО,3
Б1 1/0.200 4/0.200 5/0.600 3.0,296.85,950.00,4.569,3.000,0.003333,900.0,БО,3
Б1 3/0.200 4/0.200 5/0.600 3.0,363.37,950.00,2.083,3.000,0.003333,900.0,БО,3
Б1 1/0.200 4/0.400 5/0.400 3.0,337.61,950.00,3.106,3.000,0.003333,900.0,БО,3
Б1 1/0.200 4/0.600 5/0.200 3.0,383.45,950.00,2.279,3.000,0.003333,900.0,БО,3
Б1 1/0.400 3/0.200 5/0.400 3.0,356.20,950.00,4.658,3.000,0.003333,900.0,БО,3
Б1 1/0.400 4/0.400 5/0.200 3.0,362.87,950.00,4.094,3.000,0.003333,900.0,БО,3
С 3/0.300 13/0.700 2.0,295.91,950.00,4.002,2.033,0.002259,900.0,Свободная,2
С 4/0.300 13/0.700 2.0,301.36,950.00,3.973,2.033,0.002259,900.0,Свободная,2
С 5/0.300 13/0.700 2.0,284.88,950.00,4.383,2.033,0.002259,900.0,Свободная,2
С 8/0.300 14/0.700 2.0,277.04,950.00,4.307,2.033,0.002259,900.0,Свободная,2
С 9/0.300 13/0.700 2.0,363.97,950.00,2.469,2.033,0.002259,900.0,Свободная,2
С 10/0.300 13/0.700 2.0,322.14,950.00,3.287,2.033,0.002259,900.0,Свободная,2
С 13/0.300 14/0.700 2.0,355.89,950.00,2.717,2.033,0.002259,900.0,Свободная,2
С 8/0.500 13/0.500 2.0,337.52,950.00,2.635,2.033,0.002259,900.0,Свободная,2
С 8/0.500 14/0.500 2.0,260.21,950.00,4.649,2.033,0.002259,900.0,Свободная,2
С 9/0.500 13/0.500 2.0,291.23,950.00,3.828,2.033,0.002259,900.0,Свободная,2
С 13/0.500 15/0.500 2.0,286.76,950.00,4.725,2.033,0.002259,900.0,Свободная,2
С 8/0.700 13/0.300 2.0,285.88,950.00,3.496,2.033,0.002259,900.0,Свободная,2
С 13/0.700 15/0.300 2.0,362.02,950.00,2.680,2.033,0.002259,900.0,Свободная,2
С 9/0.300 14/0.700 2.0,365.85,950.00,3.693,2.033,0.001984,1025.0,Свободная,2
С 8/0.500 14/0.500 2.0,373.23,950.00,3.051,2.033,0.001984,1025.0,Свободная,2
С 10/0.500 13/0.500 2.0,335.83,950.00,4.717,2.033,0.001984,1025.0,Свободная,2
С 8/0.700 14/0.300 2.0,344.48,950.00,3.369,2.033,0.001984,1025.0,Свободная,2
С 9/0.700 13/0.300 2.0,325.66,950.00,4.360,2.033,0.001984,1025.0,Свободная,2
С 14/0.700 15/0.300 2.0,365.36,950.00,4.265,2.033,0.001984,1025.0,Свободная,2
С 8/0.500 9/0.500 2.0,376.28,950.00,4.255,2.033,0.001768,1150.0,Свободная,2
С 3/0.300 8/0.700 3.0,250.51,950.00,3.220,3.000,0.003333,900.0,Свободная,2
С 3/0.300 14/0.700 3.0,314.89,950.00,2.542,3.000,0.003333,900.0,Свободная,2
С 4/0.300 8/0.700 3.0,253.04,950.00,3.175,3.000,0.003333,900.0,Свободная,2
С 4/0.300 14/0.700 3.0,322.95,950.00,2.451,3.000,0.003333,900.0,Свободная,2
С 5/0.300 8/0.700 3.0,238.69,950.00,3.477,3.000,0.003333,900.0,Свободная,2
С 5/0.300 14/0.700 3.0,300.63,950.00,2.737,3.000,0.003333,900.0,Свободная,2
С 8/0.300 9/0.700 3.0,277.56,950.00,2.676,3.000,0.003333,900.0,Свободная,2
С 8/0.300 15/0.700 3.0,264.91,950.00,3.378,3.000,0.003333,900.0,Свободная,2
С 10/0.300 14/0.700 3.0,352.04,950.00,2.075,3.000,0.003333,900.0,Свободная,2
С 9/0.300 15/0.700 3.0,235.07,950.00,4.537,3.000,0.003333,900.0,Свободная,2
С 13/0.300 15/0.700 3.0,358.44,950.00,2.156,3.000,0.003333,900.0,Свободная,2
С 14/0.300 15/0.700 3.0,294.02,950.00,3.026,3.000,0.003333,900.0,Свободная,2
С 3/0.500 13/0.500 3.0,316.71,950.00,2.603,3.000,0.003333,900.0,Свободная,2
С 3/0.500 14/0.500 3.0,235.88,950.00,4.483,3.000,0.003333,900.0,Свободная,2
С 4/0.500 13/0.500 3.0,327.70,950.00,2.479,3.000,0.003333,900.0,Свободная,2
